signature,association,method,score function,PMID,information
ADO_Sidders,resistance,GSVA,geneSigGSVA,31953314,"Gene expression signature capturing the adenosine (ADO) pathway activity. This adenosine signature was significantly associated with reduced efficacy of anti-PD1 therapy in published cohorts.
"
APM_Thompson,sensitive,GSVA,geneSigGSVA,33028693,Gene expression signature capturing the antigen processing and presentation machinery (APM). This signature was predictor of response of ICB in non-small cell lung cancer and melanoma patients.
APM_Wang,sensitive,GSVA,geneSigGSVA,31767055,Gene expression signature capturing the antigen processing and presentation machinery (APM).
Bcell_Budczies,sensitive,GSVA,geneSigGSVA,33520406,Gene expression signature capturing the B-cells activity. This B_cell signature was a predictor of the response of PD-(L)1 blockade in lung cancer patients.
Bcell_Helmink,sensitive,GSVA,geneSigGSVA,31942075,Gene expression signature capturing the B-cells activity. This B_cell signature was a predictor of the response of ICB in published cohorts.
Blood_Friedlander,sensitive,GSVA,geneSigGSVA,28807052,"Gene expression signature, derieved from whole-blood RNA-Sequencing, capturing the expression level of genes associated with response to CTLA-4 blockade."
C-ECM_Chakravarthy,resistance,ssGSEA,geneSigssGSEA,30410077,Gene expression signature capturing the cancer extracellular matrix (C_ECM) marker genes activity. This C_ECM signature was a predictor of the failure of PD-1 blockade and outperforms previously-proposed biomarkers.
CCL5-CXCL9_Dangaj,sensitive,GSVA,geneSigGSVA,31185212,Gene expression signature capturing tumors infiltrated with CD8 T cells. This signature was a predictor of the response of ICB in published cohorts of combination or sequential immunotherapy with anti-PD1 and anti-CTLA4.
CD39-CD8Tcell_Chow,resistance,GSVA,geneSigGSVA,36574773,Gene expression signature capturing CD39+ CD8+ T cells. This signature was obtained from single-cell CITE/RNA/TCR sequencing of intratumoral CD3+ T cells from non-small cell lung cancer (NSCLC) biospecimens. This signature was a predictor of the response of anti-PD-L1 in a dataset of baseline NSCLC tumors.
CD8_Sade-Feldman,sensitive,GSVA,geneSigGSVA,30388456,Gene expression signature capturing the CD8 T cell activity. This CD8 signature was a predictor of the response of ICB published cohorts.
Chemokine_Messina,sensitive,GSVA,geneSigGSVA,23097687,Gene expression signature capturing the presence of ectopic lymphoid structure. This signature was predictor of  survival of multiple tumor types (PMID 4267760)
CIN25_Carter,resistance,GSVA,geneSigGSVA,16921376,"Gene expression signature capturing tumor aneuploidy. This singature was predictor of poor clinical outcome in several cancer types (PMID: 16921376) and highly scored with the subtype ""canonical"" of mismatch repair-proficient coloretal liver metastases (PMID 36241710)."
CIN70_Carter,resistance,GSVA,geneSigGSVA,16921376,"Gene expression signature capturing tumor aneuploidy. This singature was predictor of poor clinical outcome in several cancer types (PMID: 16921376) and highly scored with the subtype ""canonical"" of mismatch repair-proficient coloretal liver metastases (PMID 36241710)."
COX-IS_Bonavita,resistance,Specific Algorithm,geneSigCOX_IS,33220234,Gene expression signature capturing the pro-tumoral COX Inflammatory activity. This COX Inflammatory Signature (COX-IS) was generated in mouse data and found a predictor of the failure of CTLA-4 and PD-(L)1 blockade in several published cohorts.
CRMA_Shukla,resistance,GSVA,geneSigGSVA,29656892,"Gene expression signature capturing the Cancer-Germline Antigen activity. This ""anti-CTLA-4 resistance associated MAGE-A"" (CRMA) signature was a predictor of the failure of CTLA-4 blockade in published cohorts"
CYT_Davoli,sensitive,GSVA,geneSigGSVA,28104840,Gene expression signature capturing cytotoxic CD8+ T cells and NK cells activities. 
CYT_Rooney,sensitive,GSVA,geneSigGSVA,25594174,Gene expression signature capturing the local immune cytolytic (CYT) activity. 
EMT_Thompson,resistance,Weighted Mean,geneSigMean,31683225,Gene expression signature capturing the epithelial-to-mesenchymal transition (EMT) activity. This EMT signature was a predictor of the failure of PD-(L)1 blockade in lung cancer patients
EMTstroma_Wang,resistance,GSVA,geneSigGSVA,30158554,Gene expression signature capturing genesepithelial-to-mesenchymal transition (EMT) in stromal cells. 
IFN_Ayers,sensitive,Weighted Mean,geneSigMean,28650338,Gene expression signature capturing the level of IFNG. This IFNG signature was a predictor of the response of PD-1 blockade published cohorts
ImmuneScore_Roh,resistance,GSVA,geneSigGSVA,28251903,"Gene expression signature from selected genes of cytolytic markers, HLA molecules, IFN-g pathway, selected chemokines, and adhesion molecules. Analaysis of copy number alterations (CNA) associated decrease expression of this signature with a higher burden of copy number loss. "
ImmunoScore_Hao,sensitive,GSVA,geneSigGSVA,29661778,Gene expression signature capturing the immune marker genes and antigen-presenting genes in ovarian patients and the response to chemotherapy.
ImmuneCells_Xiong,sensitive,GSVA,geneSigGSVA,33033253,Gene expression signature capturing the presence of immune cells associated with response to immunotherapy. This ImmuneCells signature was a predictor of the response of ICB published cohorts
IMPRES_Auslander,sensitive,Weighted Mean,geneSigMean,30127394,"Immuno-predictive score (IMPRES), a predictor of ICB response in melanoma which encompasses 15 pairwise transcriptomics relations between immune checkpoint genes. This IMPRES signature was a predictor of the response of CTLA-4 and PD-1 blockade in published cohorts"
IMS_Cui,sensitive,GSVA,geneSigGSVA,33542239,"Gene expression signature capturing genes of which the expression levels after adjusting for IFNG signature score (PMID: 28650338), associated with negative response to ICB. This signature had predictive value in patients with advanced melanoma treated with ICB."
Inflammatory_Thompson,sensitive,GSVA,geneSigGSVA,31683225,Gene expression signature capturing the level of tumor Inflammation. This Inflammation signature was a predictor of the response of ICB published cohorts
IPRES_Hugo,resistance,Specific Algorithm,geneSigIPRES,26997480,"Gene expression signature capturing the combined epithelial-to-mesenchymal transition (EMT) and Inflammation activities. This EMT/Inflammation signature, called innate anti-PD1 resistance (IPRES) was a predictor of the failure of PD-(L)1 blockade in melanomapatients"
IPS_Charoentong,sensitive,Specific Algorithm,geneSigIPS,28052254,"Using machine learning, the authors identified determinants of tumor immunogenicity and developed a scoring scheme for the quantification termed immunophenoscore (IPS). This IPS signature was a predictor of the response of CTLA-4 and PD-1 in published cohorts"
IPSOV_Shen,resistance,Specific Algorithm,geneSigIPSOV,30594555,Gene expression signature from immune genes to develop an immune-based prognostic score for OV (IPSOV). IPSOV is a promising prognostic biomarker in ovarian cancer which could be used to distinguish and predict patients' survival outcome.
IRG_Ayers,sensitive,Weighted Mean,geneSigMean,28650338,Gene expression signature capturing the expression level of several Immune Regulatory Genes (IRG). This IRG signature was a predictor of the response of PD-1 blockade in published cohorts
IRG_Yang,sensitive,Weighted Mean,geneSigMean,31741756,Gene expression signature capturing the expression level of several Immune Regulatory Genes (IRG). 
KDM5A_Wang,sensitive,GSVA,geneSigGSVA,32908002,Gene expression signature capturing the histone 3 lysine 4 demethylase KDM5A activity. This KDM5A signature was a predictor of the response of PD-1 blockade in published cohorts
M1_Hwang,sensitive,ssGSEA,geneSigssGSEA,31959763,Gene expression signature capturing the presenc Macrophage M1 cells. This M1 signature was a predictor of the response of PD-1 blockade in melanoma patients
Macrophage_Danaher,sensitive,GSVA,geneSigGSVA,28239471,Gene expression signature capturing the presence Macrophage cells.
MHC-I_Liu,sensitive,ssGSEA,geneSigssGSEA,31792460,Gene expression signature capturing the expression level of immune-related cluster of MHC-I antigen-presentation genes. 
MHC-II_Liu,sensitive,ssGSEA,geneSigssGSEA,31792460,Gene expression signature capturing the expression level of immune-related cluster of MHC-II antigen-presentation genes. 
MPS_Guijarro,resistance,Weighted Mean,geneSigMean,32284588,Gene expression signature capturing the melanocytic plasticity (MPS) activity. This MPS signature was generated in syngeneic mouse models and was a predictor of the failure of CTLA-4 and PD-1 blockade in published cohorts.
Myeloid-DC_Helmink,resistance,GSVA,geneSigGSVA,31942075,Gene expression signature capturing the myeloid dendritic cells (Myeloid_DC) activity. This Myeloid_DC signature was significantly more expressed in non-responder ICB-treated patients
NonResponse_Chen,resistance,GSVA,geneSigGSVA,32907939,The authors investigated the responsiveness of breast tumors to anti-PD-1 blockade in a mice bilateral tumor approach. They identified several genes associated with resistance to PD-1 blockade and validated there signature in published ICB cohorts
PassON_Du,sensitive,Specific Algorithm,geneSigPassON,34654806,Gene expression signature capturing the combined fatty acid and lipid metabolism-related signatures in terms of response to PD1/PD-L1 therapies in patients with metastatic melanoma. 
PDL1_Nishino,sensitive,GSVA,geneSigGSVA,28653677/30127393,Gene expression signature capturing the level of PDL1. This PDL1 signature was a predictor of the response of ICB in published cohorts
peri-Tcell_Hwang,sensitive,ssGSEA,geneSigssGSEA,31959763,Gene expression signature capturing the presence of peripheral T cell (peri_Tcell). This peri_Tcell signature was a predictor of the response of PD-1 blockade in Lung patients
PredictIO_Bareche,sensitive,Specific Algorithm,geneSigPredictIO,36055464,Gene expression signature that demonstrated better and more consistent ability to predict immunotherapy response as compared to other signatures. The specific algorithm is applied to computed the signature score. The PredictIO signature was identified by integrating gene expression data from a large pan-cancer discovery immunotherapy datasets.
proliferation_Pabla,resistance,Weighted Mean,geneSigMean,30709424,"Gene expression signature of 10-proliferation associated genes used to stratify tumors into poorly, moderately, and highly proliferative. The authors demostrated a significant survival advantage of moderately proliferative tumors compared to highly/poorly counterparts."
PTEN-MITF_Cabrita,resistance,Weighted Mean,geneSigMean,32245160,Gene expression signature capturing the loss of PTEN in context of MITF expression. This PTEN_MITF signature was a predictor of the failure of ICB in Melanoma patients
Response_Chen,sensitive,GSVA,geneSigGSVA,32907939,The authors investigated the responsiveness of breast tumors to anti-PD-1 blockade in a mice bilateral tumor approach. They identified several genes associated with response to PD-1 blockade and validated there signature in published ICB cohorts
STAT1_Care,sensitive,GSVA,geneSigGSVA,31316010; 26362649,Gene expression signature capturing the STAT1-activating cytokine interferon-_ (IFN_) activity. The authors observed enrichment of genes associated with an inflammatory IFN/STAT1-driven environment in ICB responsive tumors.
Tcell-exclusion_Arnon,resistance,GSVA,geneSigGSVA,30388455,Gene expression signature capturing the mechanism of T-cell exclusion. This T_cell_exclusion signature was a predictor of the failure of PD-1 blockade in Melanoma patients
Teff_McDermott,resistance,GSVA,geneSigGSVA,29867230,Gene expression signature capturing effector T cells. This signature was a predictor of response to combination of anti-PD-L1 and sunitinib in renal cell carcinoma.
Teff-IFNG_Fehrenbacher,sensitive,GSVA,geneSigGSVA,26970723,Gene expression signature capturing effector T cells. This signature associated with improved ovarall survival of non-small-cell lung cancer patients treated with anti-PD-L1.
TGFB_Mariathasan,resistance,Weighted Mean,geneSigMean,29443960,Gene expression signature capturing the fibroblast TGFB activity. This TGFB signature was a predictor of the failure of PD-(L)1 blockade in published cohorts
TIS_Damotte,sensitive,GSVA,geneSigGSVA,31684954,Gene expression signature capturing the level of local tumor inflammation. This Tumor Inflammation signature (TIS) was a predictor of the response of PD-1 blockade in lung cancer patients.
TLS_Cabrita,sensitive,GSVA,geneSigGSVA,31942071,Gene expression signature capturing the presence of Tertiary lymphoid structures (TLS). This TLS signature was a predictor of the response of ICB in melanoma patients
TUMOR-VASCULATURE-UP_Lu,TBD,GSVA,geneSigGSVA,17308118,Gene expression signature capturing tumor-associated endothelium. The signature was obtained by comparing endothelium cells from high-grade serous ovarian cancer with normal ovary. 
VIGex_Hernando-Calvo,resistance,GSVA,geneSigGSVA,37572657,"Gene expression signature capturing genes involved in adaptative immune response. This signature was used to score tumors are classify into hot, intermediate-cold, and cold. It associated with immunotherapy response in early-phase trials."
